SUBJECT,RELATION,OBJECT
803,similarTo,122
869,similarTo,604
880,similarTo,470
813,similarTo,934
676,similarTo,884
810,similarTo,70
564,similarTo,862
818,similarTo,191
855,similarTo,30
811,similarTo,591
876,similarTo,443
810,similarTo,712
826,similarTo,460
881,similarTo,586
879,similarTo,931
863,similarTo,204
827,similarTo,666
839,similarTo,781
872,similarTo,236
846,similarTo,522
798,similarTo,218
1012,similarTo,1004
662,similarTo,839
854,similarTo,313
859,similarTo,622
778,similarTo,852
120,similarTo,868
819,similarTo,559
835,similarTo,820
980,similarTo,1012
878,similarTo,436
864,similarTo,361
1028,similarTo,959
845,similarTo,312
889,similarTo,594
851,similarTo,598
853,similarTo,521
978,similarTo,963
348,similarTo,802
799,similarTo,64
814,similarTo,909
885,similarTo,725
960,similarTo,62
823,similarTo,472
815,similarTo,28
581,similarTo,865
820,similarTo,442
802,similarTo,795
816,similarTo,886
814,similarTo,194
880,similarTo,717
841,similarTo,131
151,similarTo,854
12,similarTo,811
561,similarTo,804
218,similarTo,798
786,similarTo,835
855,similarTo,446
815,similarTo,655
965,similarTo,904
704,similarTo,864
889,similarTo,282
798,similarTo,520
206,similarTo,862
814,similarTo,200
420,similarTo,798
855,similarTo,446
981,similarTo,273
752,similarTo,805
106,similarTo,803
875,similarTo,697
1013,similarTo,981
253,similarTo,808
838,similarTo,834
889,similarTo,51
800,similarTo,111
408,similarTo,825
304,similarTo,805
882,similarTo,948
856,similarTo,331
362,similarTo,854
52,similarTo,825
820,similarTo,642
888,similarTo,334
873,similarTo,321
820,similarTo,871
871,similarTo,830
844,similarTo,127
993,similarTo,977
848,similarTo,684
830,similarTo,394
851,similarTo,616
882,similarTo,856
870,similarTo,950
352,similarTo,868
883,similarTo,96
860,similarTo,44
911,similarTo,854
37,similarTo,873
524,similarTo,856
208,similarTo,885
1025,similarTo,968
1035,similarTo,957
823,similarTo,287
877,similarTo,181
855,similarTo,174
860,similarTo,549
822,similarTo,84
808,similarTo,538
830,similarTo,23
823,similarTo,53
852,similarTo,899
886,similarTo,748
824,similarTo,258
426,similarTo,820
802,similarTo,723
854,similarTo,101
997,similarTo,975
803,similarTo,365
814,similarTo,891
830,similarTo,809
852,similarTo,778
776,similarTo,846
833,similarTo,440
843,similarTo,510
879,similarTo,741
1012,similarTo,1004
813,similarTo,325
859,similarTo,755
814,similarTo,914
32,similarTo,809
808,similarTo,645
815,similarTo,366
830,similarTo,445
960,similarTo,1036
1012,similarTo,979
873,similarTo,37
877,similarTo,75
463,similarTo,813
898,similarTo,846
602,similarTo,848
981,similarTo,984
818,similarTo,599
814,similarTo,769
163,similarTo,816
879,similarTo,741
837,similarTo,941
857,similarTo,630
831,similarTo,196
804,similarTo,291
377,similarTo,858
833,similarTo,429
833,similarTo,767
809,similarTo,200
833,similarTo,346
557,similarTo,885
72,similarTo,885
874,similarTo,75
978,similarTo,95
1012,similarTo,999
828,similarTo,844
382,similarTo,833
818,similarTo,793
851,similarTo,149
77,similarTo,851
384,similarTo,825
854,similarTo,364
469,similarTo,819
814,similarTo,439
811,similarTo,757
808,similarTo,310
885,similarTo,557
993,similarTo,1022
457,similarTo,802
180,similarTo,805
1025,similarTo,1015
861,similarTo,826
813,similarTo,955
241,similarTo,869
805,similarTo,210
826,similarTo,128
842,similarTo,510
846,similarTo,898
873,similarTo,643
812,similarTo,116
851,similarTo,414
861,similarTo,851
289,similarTo,868
802,similarTo,134
340,similarTo,852
830,similarTo,585
976,similarTo,1023
863,similarTo,943
549,similarTo,860
97,similarTo,850
675,similarTo,848
813,similarTo,667
856,similarTo,903
4,similarTo,860
855,similarTo,230
859,similarTo,276
64,similarTo,799
843,similarTo,179
860,similarTo,368
823,similarTo,791
880,similarTo,692
851,similarTo,199
322,similarTo,825
835,similarTo,533
438,similarTo,823
844,similarTo,405
987,similarTo,997
108,similarTo,859
836,similarTo,576
34,similarTo,851
361,similarTo,864
885,similarTo,39
630,similarTo,857
957,similarTo,904
869,similarTo,354
863,similarTo,335
873,similarTo,55
879,similarTo,198
82,similarTo,816
856,similarTo,249
864,similarTo,328
813,similarTo,486
829,similarTo,127
854,similarTo,313
819,similarTo,526
960,similarTo,273
357,similarTo,817
912,similarTo,814
871,similarTo,820
808,similarTo,83
518,similarTo,808
805,similarTo,597
799,similarTo,813
830,similarTo,35
832,similarTo,444
854,similarTo,574
76,similarTo,856
834,similarTo,587
856,similarTo,437
767,similarTo,833
798,similarTo,520
804,similarTo,189
606,similarTo,889
856,similarTo,918
398,similarTo,844
820,similarTo,56
798,similarTo,716
862,similarTo,638
976,similarTo,1023
846,similarTo,776
843,similarTo,267
777,similarTo,873
837,similarTo,835
805,similarTo,925
848,similarTo,92
1033,similarTo,957
849,similarTo,45
834,similarTo,837
849,similarTo,554
810,similarTo,121
808,similarTo,159
341,similarTo,848
17,similarTo,862
834,similarTo,905
826,similarTo,861
814,similarTo,143
857,similarTo,904
823,similarTo,293
888,similarTo,683
857,similarTo,252
868,similarTo,797
873,similarTo,202
802,similarTo,625
855,similarTo,542
840,similarTo,646
861,similarTo,339
183,similarTo,833
6,similarTo,805
422,similarTo,840
949,similarTo,823
600,similarTo,813
857,similarTo,736
826,similarTo,508
818,similarTo,373
